,domain,grid_id,webview_height,webview_width,displays,clicks,landed_clicks,non_bounced_clicks,closing_events,avg_last_second_framerate,sov_short_ttc,sov_short_ttc_global,sov_short_ttc_score,broken
33,ID_718,333519,250.0,300.0,26849.0,5.0,5.0,3.0,7.0,65.0,0.009396637,0.04933426,-0.039937623,0.0
34,ID_760,333519,250.0,300.0,94052.0,40.0,28.0,7.0,5.0,51.42,0.04082774,0.04933426,0.00822371,0.0
35,ID_1599,333519,250.0,300.0,5882.0,13.0,10.0,8.0,1.0,57.05882352941177,0.1,0.04933426,0.05066574,0.0
36,ID_1389,333519,250.0,300.0,786778.0,18.0,16.0,10.0,3.0,63.9,0.055359244,0.053200476,0.019977497,0.0
37,ID_697,333519,250.0,300.0,44974.0,72.0,64.0,35.0,1.0,64.30851063829788,0.006060606,0.053200476,-0.046927523,0.0
38,ID_690,333519,250.0,300.0,5175.0,6.0,4.0,1.0,,53.875,0.0040513165,0.04933426,-0.045282945,0.0
39,ID_2068,333519,250.0,300.0,147723.0,49.0,39.0,18.0,8.0,50.47272727272728,0.02714374,0.053200476,-0.022190522,0.0
40,ID_1600,333519,250.0,300.0,12274.0,13.0,12.0,4.0,,59.13333333333333,0.03626943,0.04933426,-0.0130648315,0.0
41,ID_2550,333519,250.0,300.0,30144.0,16.0,13.0,3.0,,59.05555555555556,0.015432099,0.04933426,-0.033902165,0.0
42,ID_1818,333519,250.0,300.0,12536.0,4.0,1.0,1.0,,51.66666666666666,,,,0.0
43,ID_451,333519,250.0,300.0,10902.0,45.0,40.0,12.0,2.0,64.98245614035088,,,,0.0
44,ID_1100,333519,250.0,300.0,19958.0,60.0,43.0,17.0,1.0,68.20588235294117,0.009348442,0.04933426,-0.03998582,0.0
45,ID_2842,333519,250.0,300.0,157608.0,12.0,9.0,4.0,1.0,61.285714285714285,0.08208955,0.053200476,0.03275529,0.0
46,ID_3463,333519,250.0,300.0,48696.0,102.0,68.0,25.0,4.0,66.64189189189189,0.018181818,0.04933426,-0.031152444,0.0
47,ID_2866,333519,250.0,300.0,725563.0,204.0,169.0,61.0,14.0,65.54954954954955,0.030898876,0.04933426,-0.018435385,0.0
48,ID_2172,333519,,,,,,,,,,,,
49,ID_2940,333519,250.0,300.0,15498.0,38.0,27.0,13.0,7.0,51.95,0.003773585,0.04933426,-0.045560677,0.0
50,ID_2648,333519,250.0,300.0,202940.0,19.0,12.0,3.0,,61.26086956521739,0.036812298,0.053200476,-0.012521964,0.0
51,ID_1893,333519,250.0,300.0,38017.0,37.0,35.0,18.0,5.0,70.76595744680851,0.007518797,0.04933426,-0.041815463,0.0
52,ID_2175,333519,250.0,300.0,23082.0,19.0,14.0,3.0,,62.23809523809524,0.01891144,0.04933426,-0.030422822,0.0
53,ID_416,333519,250.0,300.0,3148.0,1.0,1.0,1.0,,113.0,,,,0.0
54,ID_1509,333519,250.0,300.0,164160.0,15.0,13.0,11.0,2.0,62.392857142857146,0.008450705,0.053200476,-0.043025114,0.0
55,ID_1964,333519,250.0,300.0,58816.0,13.0,11.0,5.0,,53.07692307692308,0.02853261,0.04933426,-0.020801652,0.0
56,ID_1149,333519,250.0,300.0,17925.0,15.0,12.0,8.0,7.0,55.333333333333336,0.06482593,0.04933426,0.015491669,0.0
57,ID_621,333519,250.0,300.0,5259.0,5.0,5.0,2.0,,58.8,0.029649595,0.04933426,-0.019684667,0.0
58,ID_76,333519,250.0,300.0,171493.0,141.0,99.0,36.0,13.0,37.12048192771084,0.028286189,0.04933426,-0.021048073,0.0
59,ID_1904,333519,250.0,300.0,16708.0,31.0,30.0,23.0,,57.77142857142857,0.011173184,0.04933426,-0.038161077,0.0
60,ID_1135,333519,250.0,300.0,6154.0,12.0,12.0,5.0,,60.0625,0.006451613,0.04933426,-0.042882647,0.0
61,ID_840,333519,250.0,300.0,31730.0,31.0,29.0,12.0,2.0,61.82857142857143,0.012664908,0.04933426,-0.036669355,0.0
62,ID_3028,333519,250.0,300.0,10858.0,7.0,4.0,1.0,2.0,75.33333333333333,0.012158055,0.04933426,-0.037176207,0.0
63,ID_2402,333519,250.0,300.0,78748.0,19.0,18.0,9.0,1.0,67.52380952380952,0.047305156,0.04933426,-0.0020291046,0.0
64,ID_3487,333519,250.0,300.0,10510.0,19.0,18.0,3.0,,61.44827586206897,0.024667932,0.04933426,-0.02466633,0.0
65,ID_636,333519,250.0,300.0,11734.0,10.0,9.0,4.0,,72.33333333333333,0.019553073,0.04933426,-0.029781189,0.0
66,ID_594,333519,250.0,300.0,19194.0,13.0,11.0,4.0,,92.93333333333334,,,,0.0
67,ID_890,333519,250.0,300.0,67845.0,21.0,16.0,6.0,8.0,56.80645161290322,0.009993338,0.053200476,-0.040352225,0.0
68,ID_2863,333519,250.0,300.0,6253.0,3.0,2.0,0.0,,2.4,0.011782032,0.04933426,-0.03755223,1.0
69,ID_3066,333519,250.0,300.0,3852.0,38.0,27.0,8.0,18.0,64.19047619047619,,,,0.0
70,ID_1186,333519,250.0,300.0,179720.0,150.0,122.0,47.0,17.0,63.487046632124354,0.030985916,0.053200476,-0.02221456,0.0
71,ID_454,333519,250.0,300.0,15720.0,12.0,10.0,3.0,3.0,62.5,0.015005359,0.04933426,-0.034328904,0.0
72,ID_1584,333519,250.0,300.0,5802.0,14.0,13.0,9.0,1.0,63.22222222222222,0.031311154,0.04933426,-0.018023107,0.0
73,ID_3419,333519,250.0,300.0,38584.0,31.0,28.0,13.0,4.0,48.333333333333336,0.017441861,0.053200476,-0.0318924,0.0
74,ID_2251,333519,250.0,300.0,28988.0,21.0,15.0,3.0,5.0,58.30434782608695,0.04477612,0.04933426,-0.0045581423,0.0
75,ID_1082,333519,250.0,300.0,387664.0,174.0,127.0,37.0,7.0,56.55172413793103,,,,0.0
76,ID_2902,333519,250.0,300.0,242624.0,58.0,50.0,14.0,18.0,55.828125,0.021079257,0.104358725,-0.028255004,0.0
77,ID_2177,333519,250.0,300.0,23719.0,77.0,72.0,48.0,1.0,62.59782608695652,0.0,0.04933426,-0.04933426,0.0
78,ID_2331,333519,250.0,300.0,21626.0,21.0,14.0,3.0,23.0,54.61538461538461,0.087385744,0.04933426,0.03805148,1.0
79,ID_1763,333519,250.0,300.0,19003.0,16.0,13.0,3.0,4.0,47.588235294117645,0.018518519,0.04933426,-0.030815743,0.0
80,ID_2927,333519,250.0,300.0,19888.0,3.0,3.0,0.0,1.0,106.2,0.051983584,0.04933426,0.0026493226,0.0
81,ID_2496,333519,250.0,300.0,66206.0,21.0,20.0,9.0,,68.73913043478261,0.007978723,0.053200476,-0.02418921,0.0
82,ID_2263,333519,250.0,300.0,24205.0,35.0,26.0,7.0,2.0,30.19148936170213,0.01446281,0.04933426,-0.03487145,0.0
83,ID_2241,333519,250.0,300.0,12373.0,34.0,26.0,11.0,2.0,50.16666666666666,0.0065654493,0.04933426,-0.042768814,0.0
84,ID_3438,333519,250.0,300.0,8615.0,20.0,20.0,2.0,3.0,61.32142857142857,0.01650165,0.04933426,-0.03283261,0.0
85,ID_3148,333519,250.0,300.0,2026600.0,456.0,353.0,148.0,85.0,63.04826254826255,0.025254272,0.04933426,-0.02407999,0.0
86,ID_563,333519,250.0,300.0,311672.0,93.0,64.0,19.0,26.0,57.32978723404256,0.12484549,0.04933426,0.075511225,0.0
87,ID_3089,333519,250.0,300.0,3922.0,9.0,7.0,3.0,,58.45454545454545,0.0056689344,0.04933426,-0.043665327,0.0
88,ID_902,333519,250.0,300.0,63506.0,10.0,8.0,4.0,,93.36363636363636,0.016161617,0.04933426,-0.033172645,0.0
89,ID_1074,333519,250.0,300.0,2141.0,8.0,7.0,4.0,1.0,60.4,,,,0.0
90,ID_1577,333519,250.0,300.0,1147384.0,521.0,413.0,146.0,37.0,61.026898734177216,0.10876993,0.053200476,0.05943567,0.0
91,ID_2268,333519,,,,,,,,,,,,
92,ID_3519,333519,250.0,300.0,39750.0,33.0,22.0,11.0,3.0,63.88235294117647,0.014769766,0.04933426,-0.034564495,0.0
93,ID_2569,333519,250.0,300.0,99186.0,55.0,32.0,10.0,32.0,49.704918032786885,0.023914922,0.04933426,-0.02541934,0.0
