,domain,grid_id,webview_height,webview_width,displays,clicks,landed_clicks,non_bounced_clicks,closing_events,avg_last_second_framerate,sov_short_ttc,sov_short_ttc_global,sov_short_ttc_score
4230,ID_705,333346,250.0,300.0,3640,1.0,1.0,0.0,,60.0,,,
4231,ID_2787,333346,250.0,300.0,5982,10.0,6.0,3.0,,39.75,0.08123791,0.04933426,0.03190365
4232,ID_1963,333346,250.0,300.0,41076,25.0,16.0,2.0,,2.795918367346939,0.01810657,0.04933426,-0.031227691
4233,ID_3005,333346,250.0,300.0,3103,3.0,2.0,0.0,2.0,59.66666666666666,,,
4234,ID_3150,333346,250.0,300.0,3620,2.0,2.0,1.0,1.0,48.5,,,
4235,ID_919,333346,250.0,300.0,5260,5.0,4.0,3.0,1.0,62.0,,,
4236,ID_2168,333346,250.0,300.0,2620,1.0,1.0,0.0,,59.0,,,
4237,ID_892,333346,250.0,300.0,5628,2.0,1.0,0.0,,86.0,0.044378698,0.053200476,-0.008821778
4238,ID_2089,333346,250.0,300.0,7094,5.0,5.0,2.0,3.0,82.57142857142857,,,
4239,ID_2113,333346,250.0,300.0,3352,1.0,1.0,1.0,,54.0,,,
4240,ID_2554,333346,250.0,300.0,3479,18.0,16.0,8.0,5.0,65.66666666666667,,,
4241,ID_3395,333346,250.0,300.0,387933,106.0,85.0,45.0,8.0,61.18939393939394,0.023296447,0.053200476,-0.026037814
4242,ID_785,333346,250.0,300.0,24864,4.0,3.0,1.0,,59.0,,,
4243,ID_31,333346,250.0,300.0,6342,3.0,2.0,1.0,,34.0,,,
4244,ID_999,333346,250.0,300.0,18142,19.0,16.0,6.0,2.0,50.0,0.034032635,0.04933426,-0.015301627
4245,ID_1226,333519,250.0,300.0,5874,3.0,3.0,1.0,,11.0,0.13787639,0.053200476,0.08467591
4246,ID_2241,333519,250.0,300.0,12373,34.0,26.0,11.0,2.0,50.16666666666666,0.0065654493,0.04933426,-0.042768814
4247,ID_1625,333519,250.0,300.0,25381,33.0,26.0,11.0,2.0,68.97142857142858,0.0433526,0.04933426,-0.0059816604
4248,ID_2978,333519,250.0,300.0,4121,2.0,2.0,2.0,,60.5,,,
4249,ID_2652,333519,250.0,300.0,4295,5.0,4.0,2.0,2.0,61.8,,,
4250,ID_790,333519,250.0,300.0,2563,1.0,1.0,0.0,,60.0,,,
4251,ID_3423,333519,250.0,300.0,3349,1.0,1.0,0.0,,55.0,0.011520738,0.04933426,-0.037813526
4252,ID_1677,333519,,,5367,,,,,,,,
4253,ID_2699,333346,,,2968,,,,,,,,
4254,ID_1783,333519,,,8649,,,,,,,,
4255,ID_1715,333519,250.0,300.0,42150,43.0,35.0,11.0,6.0,49.36842105263158,0.013844515,0.04933426,-0.035489745
4256,ID_1172,333519,250.0,300.0,2046,4.0,3.0,0.0,,45.5,,,
4257,ID_1884,333519,250.0,300.0,8766,9.0,6.0,3.0,3.0,54.07692307692308,,,
4258,ID_883,333519,250.0,300.0,17459,5.0,5.0,2.0,,59.6,,,
4259,ID_1782,333346,,,2104,,,,,,0.0,0.04933426,-0.04933426
4260,ID_3475,333519,,,3597,,,,,,0.018656716,0.04933426,-0.030677546
4261,ID_875,333519,,,3084,,,,,,,,
4262,ID_503,333346,,,2763,,,,1.0,,,,
4263,ID_3032,333346,250.0,300.0,3801430,264.0,202.0,81.0,130.0,38.17350157728707,0.04791239,0.053200476,-0.0014218728
4264,ID_1558,333346,,,2555,,,,1.0,,,,
4265,ID_2997,333346,250.0,300.0,6695,1.0,1.0,0.0,,59.0,,,
4266,ID_1577,333346,250.0,300.0,250306,53.0,47.0,12.0,2.0,51.61111111111112,0.10876993,0.053200476,0.05943567
4267,ID_2419,333346,250.0,300.0,30477,33.0,31.0,21.0,,66.91428571428571,0.01715375,0.04933426,-0.032180514
4268,ID_105,333346,250.0,300.0,2401,3.0,3.0,2.0,,61.2,,,
4269,ID_651,333346,250.0,300.0,10155,30.0,24.0,10.0,17.0,46.935483870967744,0.04028133,0.04933426,-0.009052931
4270,ID_3334,333346,250.0,300.0,135873,15.0,10.0,6.0,2.0,89.95238095238095,0.082706764,0.104358725,0.033869803
4271,ID_1595,333346,250.0,300.0,8257,5.0,5.0,2.0,1.0,55.0,,,
4272,ID_1135,333346,250.0,300.0,6508,10.0,9.0,4.0,,68.41666666666667,0.006451613,0.04933426,-0.042882647
4273,ID_2120,333346,250.0,300.0,16757,2.0,1.0,0.0,,59.5,,,
4274,ID_3418,333346,250.0,300.0,3029,4.0,3.0,2.0,1.0,77.66666666666667,,,
4275,ID_3204,333346,250.0,300.0,35264,4.0,4.0,3.0,4.0,89.25,0.053125,0.04933426,0.0037907385
4276,ID_2239,333346,250.0,300.0,6990,1.0,0.0,0.0,,55.0,0.02465078,0.053200476,-0.024683481
4277,ID_3445,333346,250.0,300.0,2169,1.0,1.0,1.0,1.0,53.0,,,
4278,ID_1616,333519,250.0,300.0,2636,2.0,2.0,1.0,1.0,58.0,0.05722071,0.04933426,0.007886447
4279,ID_3015,333519,250.0,300.0,432739,132.0,105.0,37.0,4.0,57.09929078014184,0.02725724,0.04933426,-0.022077022
4280,ID_3264,333519,250.0,300.0,42234,3.0,2.0,0.0,1.0,68.0,0.08045977,0.04933426,0.031125508
4281,ID_126,333346,250.0,300.0,1937176,364.0,268.0,84.0,208.0,55.28103044496487,0.078193836,0.053200476,0.02885957
4282,ID_2263,333346,250.0,300.0,9127,21.0,18.0,7.0,1.0,40.07692307692308,0.01446281,0.04933426,-0.03487145
4283,ID_636,333346,250.0,300.0,4293,1.0,1.0,1.0,1.0,120.0,0.019553073,0.04933426,-0.029781189
4284,ID_2851,333519,250.0,300.0,33242,20.0,14.0,6.0,5.0,69.67857142857143,,,
4285,ID_697,333519,250.0,300.0,44974,72.0,64.0,35.0,1.0,64.30851063829788,0.006060606,0.053200476,-0.046927523
4286,ID_495,333519,250.0,300.0,13681,4.0,1.0,0.0,,59.0,0.091216214,0.053200476,0.041881956
4287,ID_1498,333519,250.0,300.0,115444,56.0,44.0,17.0,,78.10606060606061,0.010256411,0.04933426,-0.039077852
4288,ID_2279,333519,250.0,300.0,3844,7.0,2.0,1.0,2.0,69.0,,,
4289,ID_154,333519,250.0,300.0,3698,4.0,2.0,1.0,1.0,61.5,,,
4290,ID_399,333519,250.0,300.0,145244,38.0,34.0,15.0,,66.85,0.02603037,0.053200476,-0.027170107
